,predicted,actual,key,mape
0,0.014142137096774143,0.021,11056.0,0.006857862903225858
1,0.008042735042735026,0.012,3256.0,0.003957264957264974
2,0.012620117187499941,0.018,7650.0,0.005379882812500058
3,0.012244897959183643,0.021,5557.0,0.008755102040816358
4,0.010976239669421479,0.017,10567.0,0.006023760330578522
5,0.010976239669421479,0.011,51.0,2.376033057852056e-05
6,0.010976239669421479,0.007,10224.0,0.003976239669421479
7,0.01137244201909955,0.016,1375.0,0.00462755798090045
8,0.012352828989192599,0.012,5438.0,0.00035282898919259884
9,0.014142137096774143,0.01,10140.0,0.004142137096774143
10,0.012352828989192599,0.01,12058.0,0.002352828989192599
11,0.014142137096774143,0.009,7290.0,0.005142137096774144
12,0.014142137096774143,0.01,5838.0,0.004142137096774143
13,0.01137244201909955,0.012,8822.0,0.0006275579809004502
14,0.012620117187499941,0.008,11965.0,0.004620117187499941
15,0.008042735042735026,0.006,3811.0,0.002042735042735026
16,0.010976239669421479,0.023,878.0,0.01202376033057852
17,0.014142137096774143,0.014,12202.0,0.00014213709677414303
18,0.01137244201909955,0.014,7895.0,0.0026275579809004503
19,0.012352828989192599,0.006,120.0,0.006352828989192599
20,0.010976239669421479,0.008,11654.0,0.0029762396694214786
21,0.010976239669421479,0.009,10704.0,0.0019762396694214795
22,0.012620117187499941,0.009,9142.0,0.0036201171874999417
23,0.009333941605839361,0.008,3553.0,0.0013339416058393613
24,0.014142137096774143,0.021,9460.0,0.006857862903225858
25,0.011887499999999987,0.016,10246.0,0.004112500000000014
26,0.012244897959183643,0.01,11480.0,0.002244897959183643
27,0.00941414141414142,0.007,11660.0,0.00241414141414142
28,0.012352828989192599,0.004,2889.0,0.008352828989192599
29,0.014142137096774143,0.015,6032.0,0.0008578629032258561
30,0.009333941605839361,0.008,7639.0,0.0013339416058393613
31,0.009333941605839361,0.006,2869.0,0.0033339416058393613
32,0.012352828989192599,0.013,2798.0,0.0006471710108074003
33,0.012620117187499941,0.014,6289.0,0.0013798828125000592
34,0.012352828989192599,0.009,3611.0,0.0033528289891925998
35,0.01137244201909955,0.006,944.0,0.00537244201909955
36,0.012352828989192599,0.009,562.0,0.0033528289891925998
37,0.010976239669421479,0.016,11922.0,0.0050237603305785215
38,0.010976239669421479,0.009,10300.0,0.0019762396694214795
39,0.010976239669421479,0.016,3356.0,0.0050237603305785215
40,0.012352828989192599,0.008,11243.0,0.004352828989192599
41,0.014142137096774143,0.016,12228.0,0.001857862903225857
42,0.009333941605839361,0.01,5807.0,0.0006660583941606388
43,0.00941414141414142,0.009,13229.0,0.0004141414141414206
44,0.012352828989192599,0.014,7234.0,0.0016471710108074012
45,0.012352828989192599,0.006,1652.0,0.006352828989192599
46,0.010976239669421479,0.009,8862.0,0.0019762396694214795
47,0.010976239669421479,0.006,6953.0,0.004976239669421479
48,0.010976239669421479,0.007,1864.0,0.003976239669421479
49,0.010976239669421479,0.006,13290.0,0.004976239669421479
50,0.010976239669421479,0.011,6408.0,2.376033057852056e-05
51,0.014142137096774143,0.016,7986.0,0.001857862903225857
52,0.00941414141414142,0.018,9339.0,0.008585858585858579
53,0.014142137096774143,0.012,6967.0,0.002142137096774143
54,0.01137244201909955,0.026,8252.0,0.014627557980900449
55,0.010976239669421479,0.011,12561.0,2.376033057852056e-05
56,0.01137244201909955,0.01,1380.0,0.0013724420190995498
57,0.01137244201909955,0.01,146.0,0.0013724420190995498
58,0.010976239669421479,0.011,5581.0,2.376033057852056e-05
59,0.010976239669421479,0.009,1440.0,0.0019762396694214795
60,0.010976239669421479,0.009,11962.0,0.0019762396694214795
61,0.012352828989192599,0.011,3783.0,0.0013528289891925997
62,0.012244897959183643,0.012,10387.0,0.0002448979591836431
63,0.012620117187499941,0.012,7991.0,0.0006201171874999408
64,0.011692307692307698,0.007,10278.0,0.004692307692307698
65,0.01137244201909955,0.008,7752.0,0.00337244201909955
66,0.009333941605839361,0.011,3193.0,0.001666058394160638
67,0.012352828989192599,0.01,6077.0,0.002352828989192599
68,0.010976239669421479,0.006,13259.0,0.004976239669421479
69,0.012352828989192599,0.012,631.0,0.00035282898919259884
70,0.01137244201909955,0.013,8395.0,0.0016275579809004494
71,0.014142137096774143,0.01,9610.0,0.004142137096774143
72,0.009333941605839361,0.018,1870.0,0.008666058394160637
73,0.010976239669421479,0.015,11875.0,0.004023760330578521
74,0.010976239669421479,0.009,3023.0,0.0019762396694214795
75,0.01137244201909955,0.008,7800.0,0.00337244201909955
76,0.010976239669421479,0.007,3421.0,0.003976239669421479
77,0.012352828989192599,0.015,2591.0,0.0026471710108074004
78,0.010976239669421479,0.009,3788.0,0.0019762396694214795
79,0.010976239669421479,0.007,1653.0,0.003976239669421479
80,0.011000000000000003,0.009,9979.0,0.0020000000000000035
81,0.012352828989192599,0.014,3551.0,0.0016471710108074012
