SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
10362,2022-06-02 20:34:15.797,22102647,LF1,197.617399157895,592.852197473684,C,2022-06-02 20:34:19.743
10361,2022-06-02 20:27:00.647,22402733,LF4,237.112763536842,711.338290610526,C,2022-06-02 20:27:19.893
10360,2022-06-02 19:52:45.783,22202676,LF2,90.7353325315789,272.205997594737,C,2022-06-02 19:52:49.600
10359,2022-06-02 19:35:03.853,22302666,LF3,264.247087673684,792.741263021053,C,2022-06-02 19:35:19.687
10358,2022-06-02 18:49:00.320,22102646,LF1,164.086180289474,492.258540868421,C,2022-06-02 18:49:19.580
10357,2022-06-02 18:35:00.290,22302665,LF3,137.920649121053,413.761947363158,C,2022-06-02 18:35:19.570
10356,2022-06-02 18:13:17.613,22402731,LF4,98.9214868789473,296.764460636842,C,2022-06-02 18:13:19.483
10355,2022-06-02 17:53:40.353,22302664,LF1,218.801778410526,656.405335231579,C,2022-06-02 17:53:49.500
10354,2022-06-02 17:07:00.710,22202675,LF2,95.4478548,286.3435644,C,2022-06-02 17:07:19.440
10353,2022-06-02 16:39:25.477,22402730,LF4,231.627876736842,694.883630210526,C,2022-06-02 16:39:49.470
10352,2022-06-02 16:17:46.657,22202674,LF2,146.0133586,438.0400758,C,2022-06-02 16:17:49.467
10351,2022-06-02 15:53:40.270,22302663,LF3,269.787145073684,809.361435221053,C,2022-06-02 15:53:49.367
10350,2022-06-02 15:14:20.770,22402729,LF4,245.971513736842,737.914541210527,C,2022-06-02 15:14:49.350
10349,2022-06-02 14:15:56.797,22302662,LF3,257.126257973684,771.378773921052,C,2022-06-02 14:16:21.203
10348,2022-06-02 13:36:20.790,22202672,LF1,231.8301028,695.4903084,C,2022-06-02 13:36:49.350
10347,2022-06-02 13:21:45.433,22302661,LF3,232.128855273684,696.386565821053,C,2022-06-02 13:21:49.287
10346,2022-06-02 13:05:40.810,22402727,LF1,149.2323042,447.6969126,C,2022-06-02 13:05:49.343
